"filename", "language", "C++", "Markdown", "XML", "PDF", "comment", "blank", "total"
"d:\MyCode\Cpp\CGAPI\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1
"d:\MyCode\Cpp\CGAPI\experiments\JIT\README.md", "Markdown", 0, 3, 0, 0, 0, 4, 7
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\float.h", "C++", 44, 0, 0, 0, 4, 10, 58
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\libtcc.h", "C++", 40, 0, 0, 0, 32, 29, 101
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\stdarg.h", "C++", 62, 0, 0, 0, 5, 13, 80
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\stdbool.h", "C++", 7, 0, 0, 0, 1, 4, 12
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\stddef.h", "C++", 40, 0, 0, 0, 7, 8, 55
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\tcclib.h", "C++", 61, 0, 0, 0, 10, 10, 81
"d:\MyCode\Cpp\CGAPI\experiments\JIT\include\varargs.h", "C++", 5, 0, 0, 0, 5, 3, 13
"d:\MyCode\Cpp\CGAPI\experiments\JIT\main.cpp", "C++", 43, 0, 0, 0, 0, 7, 50
"d:\MyCode\Cpp\CGAPI\experiments\JIT\support.h", "C++", 8, 0, 0, 0, 0, 2, 10
"d:\MyCode\Cpp\CGAPI\include\gl\common.h", "C++", 67, 0, 0, 0, 13, 19, 99
"d:\MyCode\Cpp\CGAPI\include\gl\gl.h", "C++", 39, 0, 0, 0, 10, 7, 56
"d:\MyCode\Cpp\CGAPI\include\glv\glv.h", "C++", 19, 0, 0, 0, 33, 14, 66
"d:\MyCode\Cpp\CGAPI\notes\Log.md", "Markdown", 0, 43, 0, 0, 0, 25, 68
"d:\MyCode\Cpp\CGAPI\notes\mesa drawing process.md", "Markdown", 0, 150, 0, 0, 0, 32, 182
"d:\MyCode\Cpp\CGAPI\notes\mesa gl_context.md", "Markdown", 0, 642, 0, 0, 0, 123, 765
"d:\MyCode\Cpp\CGAPI\reference\GLSLangSpec.1.20.pdf", "PDF", 0, 0, 0, 8563, 0, 554, 9117
"d:\MyCode\Cpp\CGAPI\reference\glspec21.pdf", "PDF", 0, 0, 0, 68067, 0, 64, 68131
"d:\MyCode\Cpp\CGAPI\resources\spot\spot_texture.svg", "XML", 0, 0, 59, 0, 1, 1, 61
"d:\MyCode\Cpp\CGAPI\src\gl\binning.cpp", "C++", 72, 0, 0, 0, 5, 10, 87
"d:\MyCode\Cpp\CGAPI\src\gl\binning.h", "C++", 62, 0, 0, 0, 3, 12, 77
"d:\MyCode\Cpp\CGAPI\src\gl\configs.h", "C++", 5, 0, 0, 0, 1, 4, 10
"d:\MyCode\Cpp\CGAPI\src\gl\formats.h", "C++", 29, 0, 0, 0, 4, 10, 43
"d:\MyCode\Cpp\CGAPI\src\gl\geometry.cpp", "C++", 110, 0, 0, 0, 3, 5, 118
"d:\MyCode\Cpp\CGAPI\src\gl\geometry.h", "C++", 97, 0, 0, 0, 4, 9, 110
"d:\MyCode\Cpp\CGAPI\src\gl\gl.cpp", "C++", 522, 0, 0, 0, 49, 45, 616
"d:\MyCode\Cpp\CGAPI\src\gl\glcontext.cpp", "C++", 74, 0, 0, 0, 4, 9, 87
